exercise,muscle,equipment,description
Rickshaw Carry,Forearms,Other,Average
Single-Leg Press,Quadriceps,Machine,Average
Landmine twist,Abdominals,Other,Average
Weighted pull-up,Lats,Other,Average
T-Bar Row with Handle,Middle Back,Other,Average
Palms-down wrist curl over bench,Forearms,Barbell,Average
Atlas Stones,Lower Back,Other,Average
Dumbbell front raise to lateral raise,Shoulders,Dumbbell,Average
Clean from Blocks,Quadriceps,Barbell,Average
Incline Hammer Curls,Biceps,Dumbbell,Average
Barbell glute bridge,Glutes,Barbell,Average
Clean and press,Shoulders,Barbell,Average
Triceps dip,Triceps,Body Only,Average
Dumbbell farmer's walk,Forearms,Other,Average
Palms-up wrist curl over bench,Forearms,Barbell,Average
Barbell Full Squat,Quadriceps,Barbell,Average
Barbell deficit deadlift,Lower Back,Barbell,Average
Barbell Deadlift,Hamstrings,Barbell,Average
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,Average
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,Average
Tire flip,Quadriceps,Other,Average
Clean Deadlift,Hamstrings,Barbell,Average
Elbow plank,Abdominals,Body Only,Average
Bottoms Up,Abdominals,Body Only,Average
Barbell back squat to box,Quadriceps,Barbell,Average
Clean and jerk,Shoulders,Barbell,Average
Single-arm kettlebell push-press,Shoulders,Kettlebells,Average
Push-press,Quadriceps,Barbell,Average
Suspended ab fall-out,Abdominals,Other,Average
Military press,Shoulders,Barbell,Average
Power snatch-,Quadriceps,Barbell,Average
Sumo deadlift,Hamstrings,Barbell,Average
Hang Clean,Quadriceps,Barbell,Average
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,Average
Standing palms-in shoulder press,Shoulders,Dumbbell,Average
Standing cable low-to-high twist,Abdominals,Cable,Average
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,Average
Standing behind-the-back wrist curl,Forearms,Barbell,Average
Seated finger curl,Forearms,Barbell,Average
Wide-grip barbell curl,Biceps,Barbell,Average
Dumbbell spell caster,Abdominals,Dumbbell,Average
Dumbbell floor press,Triceps,Dumbbell,Average
Lying Face Down Plate Neck Resistance,Neck,Other,Average
Pullups,Lats,Body Only,Average
Decline reverse crunch,Abdominals,Other,Average
Dumbbell Bench Press,Chest,Dumbbell,Average
Jumping rope,Quadriceps,Body Only,Average
Seated barbell shoulder press,Shoulders,Barbell,Average
EZ-bar spider curl,Biceps,Barbell,Average
Smith machine shrug,Traps,Machine,Average
Smith Machine Calf Raise,Calves,Machine,Average
Romanian Deadlift from Deficit,Hamstrings,Barbell,Average
Power Snatch,Hamstrings,Barbell,Average
Pushups,Chest,Body Only,Average
Barbell walking lunge,Quadriceps,Barbell,Average
Front Squats With Two Kettlebells,Quadriceps,Kettlebells,Average
Spider crawl,Abdominals,Body Only,Average
Power Clean from Blocks,Hamstrings,Barbell,Average
Single Leg Push-off,Quadriceps,Other,Average
Reverse-grip bent-over row,Middle Back,Barbell,Average
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,Average
